x;f(x)
(-0,500000, 1,4237092393)
(-0,450000, 1,3835332181)
(-0,400000, 1,3440797405)
(-0,350000, 1,3048352700)
(-0,300000, 1,2653541908)
(-0,250000, 1,2252466756)
(-0,200000, 1,1841691720)
(-0,150000, 1,1418168601)
(-0,100000, 1,0979176110)
(-0,050000, 1,0522478890)
(-0,000000, 1,0045248555)
(0,050000, -400,6236373794)
(0,100000, -22,3556497652)
(0,150000, -1,9600283974)
(0,200000, -0,5195239652)
(0,250000, -0,0526987967)
(0,300000, -0,0159950035)
(0,350000, -0,0024542616)
(0,400000, -0,0019970082)
(0,450000, -0,0004807171)
(0,500000, -0,0000340859)
